NAME,TOTALREV,TFEDREV,TSTREV,TLOCREV,tot_rev_per_s,fed_rev_per_s,st_rev_per_s,loc_rev_per_s,ENROLL,TOTALEXP,TCURINST,tot_spend_per_s,tot_inst_per_s,lat,lng,ave_school_enrol,ave_prcnt_wht,ave_prcnt_bk,ave_prcnt_hisp,ave_prcnt_asn,ave_prcnt_othr,free_lunch_eligible,not_eligible,total_count,percent_student_body_eligible_for_frl
Midland Public Schools,91236,2262,51858,37116,11.83653347,0.293461339,6.7278152570000005,4.815256876,7708,93515,51850,12.13220031,6.726777374,43.63729223,-84.23025477,712.4,86.6,2.3,4.6,4.2,2.8,188.1,437.9,654.9,35.9
Milan Area Schools,30592,1560,17840,11192,13.86135025,0.7068418670000001,8.083371092,5.07113729,2207,28296,12105,12.82102401,5.4848210239999995,42.08549205,-83.69071693,516.0,85.5,5.5,4.25,0.5,4.0,142.25,347.25,516.0,33.5
Millington Community Schools,12421,668,9739,2014,10.17280917,0.547092547,7.976248976,1.649467649,1221,11456,6795,9.382473382,5.565110565,43.2785211,-83.5215397,378.0,96.0,2.0,1.0,0.5,0.5,192.5,182.0,392.5,53.0
Mio-AuSable Schools,5831,611,2619,2601,11.08555133,1.161596958,4.979087452,4.94486692,526,5881,3778,11.18060837,7.182509506000001,44.653180400000004,-84.1443072,231.0,97.0,0.0,1.0,0.0,1.0,153.0,47.0,215.0,78.0
Mona Shores Public School District,42900,1158,28031,13711,11.203969699999998,0.302428833,7.320710367999999,3.5808305039999997,3829,39685,22657,10.36432489,5.91721076,43.18470652,-86.27493163,630.8333332999999,79.0,10.5,3.333333333,2.0,5.666666667,241.0,357.0,641.8333332999999,46.33333333
Monroe Public Schools,60080,3744,32916,23420,10.50900822,0.654888928,5.757565157,4.096554137,5717,61444,31979,10.74759489,5.593668008,41.92048185,-83.41525309,696.625,79.375,11.75,6.125,0.75,2.0,369.625,244.25,651.875,66.5
Montabella Community Schools,9702,764,5634,3304,12.25,0.964646465,7.1136363639999995,4.171717172,792,8135,4558,10.27146465,5.755050505,43.46504245,-85.05674475,384.0,87.5,0.0,5.0,0.5,6.5,222.5,130.5,387.0,66.5
Montague Area Public Schools,17939,1177,10022,6740,12.11276165,0.794733288,6.767049291,4.550979068,1481,16666,8923,11.25320729,6.02498312,43.42232108,-86.36031795,354.25,87.0,0.75,9.0,0.5,2.75,167.25,192.0,380.0,49.75
Montrose Community Schools,15512,1432,11675,2405,10.69793103,0.987586207,8.051724137999999,1.65862069,1450,14626,8131,10.08689655,5.607586207000001,43.1803557,-83.88767179999999,342.3333333,91.0,2.333333333,3.666666667,0.333333333,2.666666667,180.66666669999998,148.66666669999998,349.0,57.66666667
Moran Township School District,1930,86,100,1744,20.53191489,0.914893617,1.063829787,18.55319149,94,1370,760,14.57446809,8.085106383,45.8701703,-84.8240132,94.0,44.0,3.0,0.0,0.0,53.0,45.0,40.0,93.0,57.0
Morenci Area Schools,7911,371,5583,1957,11.31759657,0.530758226,7.987124464,2.799713877,699,7903,4229,11.30615165,6.050071531,41.7216472,-84.20872665,329.0,88.5,1.5,7.0,0.0,3.0,186.0,102.5,331.0,70.5
Morley Stanwood Community Schools,12985,1310,8518,3157,11.0982906,1.11965812,7.28034188,2.6982905980000003,1170,12141,7450,10.37692308,6.367521367999999,43.53691115,-85.4419647,450.5,92.5,2.0,3.0,0.0,2.0,259.5,154.0,446.5,64.0
Morrice Area Schools,5803,284,4178,1341,11.26796117,0.551456311,8.112621359,2.603883495,515,5812,3317,11.28543689,6.440776699,42.8416215,-84.1775637,264.0,96.0,1.0,1.0,0.0,3.0,126.0,123.0,273.0,55.0
Mount Clemens Community School District,20876,2536,7197,11143,18.26421697,2.21872266,6.296587927000001,9.748906387,1143,19412,8201,16.98337708,7.174978127999999,42.60213805,-82.8760067,345.0,23.0,63.0,5.0,0.0,9.5,328.0,57.5,401.0,83.5
Mt. Morris Consolidated Schools,21885,2370,16990,2525,10.56225869,1.143822394,8.19980695,1.218629344,2072,22767,12068,10.98793436,5.824324324,43.10021846,-83.70279416,263.25,57.75,27.375,6.25,0.125,8.5,191.25,38.125,244.5,81.375
Mt. Pleasant City School District,46242,1780,22011,22451,12.85214008,0.494719288,6.117565314,6.239855475,3598,41657,25598,11.57782101,7.11450806,43.59705694,-84.76718999,432.2857143,75.14285714,3.428571429,4.428571429,2.4285714290000002,15.0,160.8571429,213.71428569999998,392.14285710000007,48.71428571
Munising Public Schools,7728,471,4286,2971,11.48291233,0.699851412,6.368499257000001,4.414561664,673,7269,4223,10.80089153,6.274888559,46.41719805,-86.66282605,325.5,80.5,0.0,2.5,0.0,17.0,138.5,154.5,308.5,50.5
"Muskegon, Public Schools of the City of",54696,7478,33895,13323,13.0042796,1.777936282,8.05872563,3.1676176889999996,4206,55273,27112,13.14146457,6.446029482,43.23127863,-86.23256589,454.42857139999995,29.85714286,52.42857143,11.71428571,0.0,6.142857143,358.42857139999995,70.14285714,448.2857143,82.57142857
Napoleon Community Schools,14326,529,10137,3660,10.51835536,0.38839941299999997,7.442731277999999,2.68722467,1362,13205,8370,9.695301028,6.145374449,42.17335115,-84.27247725,337.25,93.75,0.75,3.5,0.25,1.75,131.5,176.0,329.0,48.75
Negaunee Public Schools,16365,531,11438,4396,10.5105973,0.34104046200000004,7.346178547999999,2.8233782919999997,1557,16234,9682,10.42646114,6.218368657999999,46.5015558,-87.61247890000001,494.0,92.0,0.333333333,1.6666666669999999,0.333333333,6.0,123.0,341.6666667,500.66666669999995,31.33333333
New Buffalo Area Schools,16499,399,1154,14946,27.04754098,0.654098361,1.8918032790000001,24.50163934,610,14825,7002,24.30327869,11.47868852,41.78900715,-86.74320575,237.0,85.0,3.0,8.0,1.5,3.0,78.0,117.5,211.0,44.0
New Haven Community Schools,17227,683,8244,8300,13.42712393,0.532346064,6.425565082,6.469212783,1283,15210,6967,11.85502728,5.430241621,42.7249338,-82.7880278,471.5,70.0,18.5,4.5,1.5,5.0,158.5,160.5,346.5,53.5
New Lothrop Area Public Schools,9142,253,7437,1452,9.809012876,0.27145922699999997,7.979613734,1.557939914,932,8825,5309,9.46888412,5.696351931000001,43.12010735,-83.9746989,462.0,99.5,0.5,0.0,0.0,0.0,112.5,329.0,450.0,26.5
Newaygo Public School District,17745,1246,10761,5738,11.02173913,0.773913043,6.683850932,3.563975155,1610,15955,10404,9.909937888,6.462111801,43.41513625,-85.79511443,398.25,86.5,1.5,8.75,1.0,2.5,228.5,139.25,393.5,66.0
NICE Community School District,12897,310,8033,4554,11.1953125,0.26909722199999997,6.973090278,3.953125,1152,12962,8167,11.25173611,7.089409722,46.48087685,-87.72760965,567.0,93.0,1.0,2.0,0.0,4.5,189.0,374.5,597.0,37.0
Niles Community Schools,42248,4255,30211,7782,11.33870102,1.141975309,8.108158884,2.0885668280000003,3726,43055,22685,11.55528717,6.088298442999999,41.83027686,-86.24927218,315.8,75.0,9.0,9.0,0.6,6.6,189.2,137.2,352.6,63.4
North Adams-Jerome Public Schools,3075,266,2190,619,10.11513158,0.875,7.203947368,2.036184211,304,3078,1893,10.125,6.226973684,41.965022999999995,-84.52509690000001,165.0,92.0,0.0,4.0,2.0,3.0,80.0,55.0,150.0,63.0
North Branch Area Schools,24089,921,18895,4273,10.10444631,0.38632550299999996,7.925755034,1.792365772,2384,22966,14312,9.633389262,6.003355705,43.22528498,-83.19025418,477.0,93.4,0.8,4.2,0.0,1.4,190.8,236.8,465.0,53.6
North Central Area Schools,4174,398,2719,1057,11.40437158,1.087431694,7.428961749,2.8879781419999997,366,3991,2269,10.90437158,6.1994535520000005,45.70151605,-87.55872155,182.5,96.5,1.0,2.0,0.0,1.5,68.0,88.5,182.5,51.0
North Dickinson County Schools,2939,176,1259,1504,10.64855072,0.637681159,4.561594203,5.449275362000001,276,2805,1577,10.16304348,5.713768116000001,46.011279200000004,-87.9599363,276.0,96.0,0.0,0.0,0.0,4.0,94.0,136.0,252.0,46.0
North Huron School District,6099,336,1251,4512,13.17278618,0.7257019440000001,2.7019438439999997,9.745140389,463,5296,2985,11.43844492,6.447084232999999,43.9403152,-83.00355520000001,449.0,92.0,0.0,4.0,1.0,3.0,201.0,193.0,417.0,54.0
North Muskegon Public Schools,10673,273,7962,2438,10.25264169,0.262247839,7.648414986000001,2.341978866,1041,10199,6208,9.797310279,5.963496638,43.25816210000001,-86.2683025,294.0,85.0,4.0,4.0,2.0,6.0,73.0,242.0,328.0,26.0
Northport Public School District,4331,403,384,3544,27.23899371,2.534591195,2.41509434,22.28930818,159,4131,2396,25.98113208,15.06918239,45.128406299999995,-85.6194043,164.0,70.0,1.0,6.0,1.0,23.0,84.0,43.0,145.0,70.0
Northview Public Schools,41264,1043,26389,13832,12.17586309,0.307760401,7.786662732000001,4.081439953,3389,41437,23418,12.22691059,6.910002951,43.04056417,-85.61970473,532.5,77.83333333,6.333333333,7.333333333,1.5,7.333333333,187.5,302.5,530.0,45.5
Northville Public Schools,99578,608,63993,34977,13.44558466,0.08209559799999999,8.640696732,4.722792331,7406,92642,55922,12.50904672,7.550904672000001,42.42718275,-83.4887095,736.3,70.4,5.3,3.8,17.5,3.4,77.7,607.2,694.3,17.2
Northwest Community Schools,32792,1697,22457,8638,10.64675325,0.550974026,7.291233766,2.804545455,3080,31845,19559,10.33928571,6.350324675,42.31684706,-84.44373424,618.4,84.0,5.0,4.4,0.8,6.2,354.2,292.0,690.2,63.4
Norway-Vulcan Area Schools,7627,324,5083,2220,10.44794521,0.443835616,6.963013698999999,3.04109589,730,7122,4271,9.756164384,5.850684932,45.782724,-87.90229699999999,214.0,96.0,1.0,1.0,0.0,2.0,80.0,125.0,223.0,44.0
Nottawa Community School,1272,175,751,346,9.709923664,1.3358778629999999,5.732824427000001,2.641221374,131,1256,945,9.58778626,7.213740457999999,41.9196039,-85.44034909999999,134.0,99.0,1.0,0.0,1.0,0.0,35.0,70.0,119.0,41.0
Novi Community School District,92765,838,44364,47563,14.32000617,0.129360914,6.848410003,7.342235258,6478,105444,47356,16.27724606,7.310280951,42.47325932,-83.49528521,705.7777778,47.66666667,8.666666667000001,8.888888889,31.11111111,4.0,86.44444444,609.1111111,706.0,20.66666667
"Oak Park, School District of the City of",54621,4779,39715,10127,11.40551263,0.997911881,8.29296304,2.114637711,4789,48931,29117,10.21737315,6.079974943,42.46051826,-83.18261436,607.375,6.0,92.625,0.75,0.25,0.375,516.0,110.875,639.125,81.25
Oakridge Public Schools,21645,1521,16277,3847,10.55338859,0.7415894690000001,7.936128717999999,1.875670405,2051,20853,11704,10.16723549,5.706484642,43.24795536,-86.10299764,404.8,84.2,2.6,7.6,0.4,5.4,225.8,135.6,394.2,67.8
Okemos Public Schools,56975,872,31171,24932,13.56870683,0.20766849199999998,7.423434151,5.937604191,4199,58821,28829,14.00833532,6.865682305,42.69746936,-84.42780493,597.2857142999999,58.42857143,6.285714286,6.142857143,22.71428571,7.0,103.57142859999999,514.2857143,635.7142857000001,18.14285714
Olivet Community Schools,16187,534,11937,3716,10.712773,0.35340833899999996,7.900066181000001,2.459298478,1511,20283,9531,13.42356056,6.307743216,42.4411838,-84.9192427,447.5,95.0,0.5,2.5,0.5,1.5,139.5,294.0,458.5,37.0
Onaway Area Community School District,7008,507,3027,3474,11.2128,0.8112,4.8432,5.5584,625,6321,4200,10.1136,6.72,45.344781,-84.2216863,235.0,92.5,0.0,2.5,0.0,5.0,126.5,95.0,237.5,59.5
Onekama Consolidated Schools,5708,283,1005,4420,13.3364486,0.661214953,2.348130841,10.3271028,428,5219,2545,12.19392523,5.946261682,44.3646739,-86.2019458,424.0,86.0,0.0,6.0,0.0,8.0,210.0,205.0,437.0,53.0
Onsted Community Schools,15692,1103,9555,5034,11.32178932,0.7958152959999999,6.893939393999999,3.632034632,1386,14504,8610,10.46464646,6.2121212120000004,41.99976855,-84.191575,407.0,91.5,1.0,4.5,0.0,3.5,107.0,250.5,386.0,35.5
Ontonagon Area School District,3973,296,1216,2461,12.65286624,0.9426751590000001,3.872611465,7.8375796179999995,314,3567,2015,11.35987261,6.417197452000001,46.869513700000006,-89.29759109999999,314.0,97.0,0.0,1.0,0.0,2.0,133.0,134.0,300.0,55.0
Orchard View Schools,29579,2404,19708,7467,11.47807528,0.932867676,7.647652309,2.897555297,2577,52076,15160,20.20799379,5.882809468,43.24839666,-86.18705828,490.2,69.4,13.2,9.4,0.6,8.0,354.2,137.2,524.0,74.0
Oscoda Area Schools,14524,1443,4344,8737,12.35034014,1.227040816,3.6938775510000004,7.429421769,1176,14111,7003,11.99914966,5.954931973,44.423995,-83.38137825,579.5,89.5,1.0,5.0,0.5,4.0,367.0,170.0,579.0,70.0
Otsego Public Schools,24538,646,17139,6753,10.82877317,0.28508384800000003,7.563548102,2.980141218,2266,22461,12584,9.912180053,5.553398057999999,42.44269553,-85.70693583,374.8333333,91.33333333,1.5,3.166666667,0.666666667,3.166666667,117.0,240.0,381.1666667,41.33333333
Ovid-Elsie Area Schools,16854,670,12331,3853,10.70775095,0.42566709,7.834180432,2.447903431,1574,16161,9312,10.26747141,5.91613723,43.04812603,-84.38311625,433.5,84.5,1.25,4.0,9.0,1.5,149.25,200.75,377.5,47.75
Owendale-Gagetown Area School District,1939,155,1126,658,12.2721519,0.9810126579999999,7.126582278,4.164556962,158,1976,1110,12.50632911,7.0253164560000005,43.729535600000006,-83.26472779999999,74.0,89.0,0.0,8.0,0.0,3.0,44.0,16.0,69.0,77.0
Owosso Public Schools,33196,2587,24438,6171,10.24251774,0.798210429,7.54026535,1.904041962,3241,31839,19863,9.823819809,6.128663992999999,42.99869995,-84.17001233,529.5,90.5,0.5,5.5,0.333333333,3.166666667,235.5,197.66666669999998,455.66666669999995,64.16666667
Oxford Community Schools,64613,2016,43663,18934,12.24890995,0.382180095,8.277345972,3.5893838860000002,5275,59479,32776,11.27563981,6.213459716,42.83004455,-83.23401067,340.8333333,77.66666667,5.0,6.833333333,7.0,4.166666667,97.16666667,217.0,329.3333333,40.5
Parchment School District,21013,842,13272,6899,12.56758373,0.5035885170000001,7.937799042999999,4.126196172,1672,21377,9933,12.78528708,5.940789474,42.33000097,-85.56215135,271.0,70.83333333,9.833333332999999,7.833333333,1.166666667,10.66666667,127.83333329999999,118.33333329999999,270.0,60.5
Paw Paw Public School District,24207,1027,16084,7096,10.95339367,0.464705882,7.2778280539999995,3.2108597289999996,2210,26030,12356,11.77828054,5.590950226,42.2327445,-85.90075258,377.75,87.0,3.25,7.25,0.75,2.0,154.25,204.0,375.25,49.5
Peck Community School District,3931,276,3097,558,10.68206522,0.75,8.41576087,1.516304348,368,3608,2159,9.804347826,5.866847826,43.2580763,-82.8097312,168.0,92.0,1.0,5.0,1.0,2.0,98.0,43.0,166.0,74.0
Pellston Public Schools,7135,673,1998,4464,13.64244742,1.286806883,3.820267686,8.535372849,523,6078,3688,11.62141491,7.051625239,45.5528402,-84.779832,252.0,77.5,1.0,1.0,0.0,20.5,136.0,88.0,245.5,65.0
Pennfield Schools,22737,995,17089,4653,10.4537931,0.457471264,7.857011494,2.139310345,2175,20917,11948,9.617011494,5.493333333,42.37408512,-85.1450328,430.0,84.2,4.2,4.2,0.6,7.0,197.6,221.2,446.0,52.4
Pentwater Public School District,3454,167,289,2998,12.840148699999999,0.620817844,1.074349442,11.14498141,269,3272,1992,12.16356877,7.405204461,43.7835354,-86.4245176,269.0,86.0,0.0,7.0,0.0,7.0,126.0,136.0,280.0,51.0
Perry Public Schools,13852,787,9728,3337,10.99365079,0.624603175,7.720634921,2.648412698,1260,17996,7040,14.28253968,5.587301587000001,42.83153265,-84.21431995,447.5,93.5,0.0,1.0,0.5,4.0,160.0,224.5,413.5,46.5
Pewamo-Westphalia Community Schools,7221,130,5148,1943,11.51674641,0.207336523,8.210526316000001,3.098883573,627,6703,3516,10.69059011,5.607655502,42.9427795,-84.83620959999999,179.0,83.0,1.0,13.0,1.0,2.0,61.0,100.0,176.0,43.0
Pickford Public Schools,5971,918,3570,1483,12.46555324,1.9164926930000001,7.45302714,3.0960334030000003,479,5785,2738,12.07724426,5.716075157000001,46.221636100000005,-84.3868063,237.0,58.5,1.0,1.5,1.0,37.5,111.0,108.5,241.0,65.0
Pinckney Community Schools,38570,546,23495,14529,11.98198198,0.169617894,7.298850575,4.513513514,3219,34375,18793,10.67878223,5.838148492999999,42.4686844,-83.90294533,454.33333330000005,94.33333333,0.333333333,2.333333333,0.333333333,2.333333333,89.66666667,294.6666667,396.3333333,25.66666667
Pinconning Area Schools,13323,887,9676,2760,10.28009259,0.68441358,7.466049383,2.12962963,1296,12681,7418,9.784722222000001,5.723765432,43.81456847,-83.96829917,337.0,92.0,1.0,4.333333333,0.333333333,2.666666667,159.33333330000002,148.66666669999998,339.0,56.33333333
Pine River Area Schools,10805,843,6954,3008,10.25142315,0.799810247,6.59772296,2.853889943,1054,10269,6314,9.74288425,5.990512334,44.0648292,-85.48905359999999,589.0,92.0,1.0,4.0,0.0,3.0,283.0,290.0,614.0,53.0
Pittsford Area Schools,5477,358,4471,648,9.558464223,0.62478185,7.802792321,1.130890052,573,5396,3700,9.417102967,6.457242582999999,41.863315500000006,-84.4710617,316.0,93.0,1.0,2.0,0.0,3.0,104.0,137.0,261.0,48.0
Plainwell Community Schools,29014,741,20967,7306,10.57361516,0.270043732,7.641034985,2.662536443,2744,27211,16138,9.91654519,5.881195335,42.4277776,-85.64245775,454.0,90.66666667,2.0,4.333333333,1.0,2.0,144.0,302.0,465.0,38.66666667
Plymouth-Canton Community Schools,193982,3324,124574,66084,11.19923792,0.191905779,7.192078979,3.8152531610000002,17321,198633,102969,11.4677559,5.944749148,42.33946777,-83.4800816,765.0869565,71.82608696,9.739130435,4.2173913039999995,9.869565217,4.565217391,156.826087,603.6956522,784.7391303999999,24.69565217
Pontiac City School District,65775,14248,15148,36379,15.46191819,3.3493182889999997,3.560883874,8.551716032,4254,69672,28975,16.37799718,6.811236482999999,42.66935555,-83.27342235,567.1666667000001,9.666666667000001,49.33333333,34.0,3.833333333,3.0,504.66666669999995,66.0,581.3333332999999,88.83333333
Port Huron Area School District,91424,8393,63689,19342,10.22868651,0.93902439,7.125643321,2.164018796,8938,93692,55620,10.48243455,6.222868651000001,42.99494166,-82.46620103,544.625,75.4375,9.375,7.875,0.875,6.5625,243.1875,218.0625,482.6875,59.375
Portage Public Schools,102841,2124,60897,39820,11.86718209,0.245095777,7.027117471,4.594968843999999,8666,95096,51679,10.9734595,5.963420263,42.21377743,-85.60748341,611.6428571,73.71428571,5.785714286,5.714285714,6.0,8.714285713999999,151.1428571,448.5,629.0714286,32.92857143
Portland Public Schools,22178,914,15993,5271,10.77648202,0.444120505,7.771137026,2.56122449,2058,19880,11334,9.659863946,5.50728863,42.8718514,-84.91031728,539.25,87.5,5.25,2.25,3.25,2.0,133.25,345.0,507.5,32.25
Posen Consolidated School District No. 9,2754,170,1127,1457,11.92207792,0.7359307359999999,4.878787879,6.3073593070000005,231,2386,1507,10.32900433,6.523809524,45.2683982,-83.6974182,130.0,96.0,0.0,0.0,2.0,2.0,50.0,44.0,115.0,62.0
Potterville Public Schools,10139,569,6767,2803,11.49546485,0.6451247170000001,7.672335601,3.178004535,882,10995,4791,12.46598639,5.431972789,42.6307664,-84.73531713,284.0,88.0,4.333333333,4.333333333,1.333333333,1.6666666669999999,115.0,150.66666669999998,281.6666667,46.0
Powell Township Schools,1172,51,107,1014,31.67567568,1.378378378,2.891891892,27.40540541,37,1156,633,31.24324324,17.10810811,46.81764129999999,-87.7291053,35.0,97.0,0.0,0.0,0.0,3.0,19.0,15.0,37.0,59.0
Quincy Community Schools,12409,820,8869,2720,10.23000824,0.6760098929999999,7.311624073,2.242374279,1213,16776,6904,13.83017312,5.691673537000001,41.94195425,-84.8794824,422.0,95.0,0.0,3.0,1.0,1.5,161.5,226.0,413.5,44.5
Rapid River Public Schools,4282,295,1955,2032,12.13031161,0.8356940509999999,5.538243626,5.756373937999999,353,4218,2142,11.949008500000001,6.067988669,45.914282,-86.92664,349.0,81.0,1.0,1.0,0.0,17.0,142.0,190.0,355.0,46.0
Ravenna Public Schools,12642,438,8805,3399,11.58753437,0.401466544,8.070577452,3.1154903760000003,1091,12685,6577,11.62694775,6.028414299,43.1903067,-85.9394334,349.0,90.0,1.0,7.0,0.0,1.0,151.0,166.0,343.0,52.0
Reading Community Schools,8442,656,5871,1915,10.67256637,0.829329962,7.422250316,2.420986094,791,7600,4354,9.608091024,5.504424779,41.83948970000001,-84.7450099,398.0,94.0,2.0,2.0,0.5,2.5,197.5,152.0,379.5,60.0
"Redford Union Schools, District No. 1",44822,2490,28216,14116,14.96560935,0.831385643,9.421035058,4.713188648,2995,41064,24789,13.71085142,8.276794658,42.42386828,-83.29878312,426.0,31.0,58.66666667,3.666666667,0.166666667,6.666666667,331.3333333,98.16666667,449.83333330000005,80.16666667
Reed City Area Public Schools,16449,1303,10717,4429,10.66731518,0.845006485,6.9500648510000005,2.872243839,1542,14872,8900,9.64461738,5.771725032000001,43.86827023,-85.5133035,515.6666667,93.0,1.0,2.333333333,0.333333333,3.333333333,256.3333333,227.0,515.6666667,55.0
Reese Public Schools,9085,662,5940,2483,11.05231144,0.8053527979999999,7.226277372,3.020681265,822,9416,5021,11.45498783,6.1082725060000005,43.45445413,-83.68357263,274.3333333,88.0,1.333333333,6.333333333,1.0,3.0,122.0,129.3333333,265.3333333,51.33333333
Reeths-Puffer Schools,43506,1733,29391,12382,11.47612767,0.45713532,7.752835663,3.266156687,3791,42665,23262,11.25428647,6.136111844,43.28638970000001,-86.24457077,516.7142857,88.0,3.428571429,4.1428571430000005,1.571428571,3.0,222.5714286,247.1428571,511.2857143,46.85714286
Republic-Michigamme Schools,2943,215,269,2459,20.87234043,1.524822695,1.907801418,17.43971631,141,2880,1572,20.42553191,11.14893617,46.3706781,-87.982887,136.0,95.0,1.0,0.0,0.0,4.0,56.0,43.0,110.0,61.0
Richmond Community Schools,16552,1019,9511,6022,11.13113652,0.68527236,6.396099529,4.049764627,1487,17075,8546,11.48285138,5.7471418960000005,42.80643633,-82.7590426,488.66666669999995,90.66666667,0.666666667,5.0,0.0,4.333333333,130.3333333,314.3333333,472.33333330000005,33.66666667
"River Rouge, School District of the City of",26369,4939,13177,8253,15.068,2.822285714,7.529714286,4.716,1750,23471,10740,13.412,6.137142857000001,42.270401299999996,-83.13549068,447.25,7.0,76.75,9.75,0.0,7.0,414.25,116.75,537.25,79.5
River Valley School District,9518,523,874,8121,16.90586146,0.928952043,1.552397869,14.42451155,563,9057,4522,16.08703375,8.031971581,41.83620933,-86.60981577,191.33333330000002,89.66666667,0.333333333,4.666666667,0.666666667,5.0,93.66666667,86.0,192.33333330000002,58.0
Riverview Community School District,27729,839,22983,3907,10.00685673,0.30277878,8.294117647,1.409960303,2771,27390,16214,9.884518223999999,5.851317214,42.17574044,-83.19382808,550.2,82.2,6.2,8.6,1.2,2.2,187.4,332.8,556.6,42.0
Rochester Community School District,194327,2051,125504,66772,12.90351926,0.136188579,8.333598938,4.43373174,15060,169769,102387,11.27284197,6.798605577999999,42.68565617,-83.15426444,717.1428571,75.90476190000001,4.19047619,4.7619047619999995,11.80952381,3.333333333,106.7619048,598.4285714,721.9047619,20.85714286
Rockford Public Schools,91595,1121,60698,29776,11.60605677,0.142042575,7.691079574,3.7729346169999998,7892,98205,49175,12.44361379,6.230993411,43.09852488,-85.53983261,573.7692308,89.15384615,0.923076923,4.230769231,1.153846154,4.538461538,100.6923077,460.61538459999997,576.3076923,22.69230769
Rogers City Area Schools,5818,366,3092,2360,10.73431734,0.675276753,5.704797048,4.354243542,542,5633,3514,10.39298893,6.483394833999999,45.4166884,-83.8245615,322.0,95.0,1.0,1.0,0.0,2.0,153.0,139.0,336.0,59.0
Romeo Community Schools,60456,1374,40503,18579,11.61945032,0.26407841600000004,7.784547377000001,3.570824524,5203,56147,33059,10.79127426,6.353834326,42.76452107,-83.01859969,661.2857142999999,85.42857143,2.0,8.571428571,0.7142857140000001,3.142857143,184.8571429,451.42857139999995,659.5714286,36.0
Romulus Community Schools,41447,3639,20134,17674,13.801864800000002,1.211788212,6.704628705,5.885447885,3003,43706,18503,14.55411255,6.161505162,42.2245963,-83.37985857,482.16666669999995,22.33333333,70.5,3.833333333,0.333333333,3.166666667,318.1666667,89.66666667,437.0,80.0
Roseville Community Schools,56827,4785,37379,14663,11.54316474,0.971968312,7.592728011,2.978468414,4923,58868,31437,11.95774934,6.385740402000001,42.50029511,-82.93977231,374.3333333,61.55555556,27.0,2.444444444,1.7777777780000001,7.444444444,239.7777778,117.7777778,373.6666667,69.22222222
Royal Oak Schools,72725,1156,31191,40378,14.936331900000003,0.237420415,6.406038201,8.29287328,4869,61516,33186,12.63421647,6.815773259,42.50892201,-83.14856452,529.0,78.22222222,9.444444444,4.666666667,1.222222222,6.555555556,116.2222222,411.55555560000005,547.3333332999999,29.55555556
Rudyard Area Schools,8271,1262,4833,2176,11.93506494,1.821067821,6.974025974,3.13997114,693,7592,3961,10.95526696,5.715728716,46.203576700000006,-84.7455817,684.0,61.0,4.0,1.0,1.0,34.0,352.0,199.0,608.0,67.0
"Saginaw, School District of the City of",81874,17348,52853,11673,12.88137193,2.7293895530000003,8.315449969,1.83653241,6356,76641,43933,12.05805538,6.912051605,43.42769899,-83.95706665,388.875,20.875,62.4375,12.875,1.8125,2.0,276.75,70.25,355.875,82.6875
Saginaw Township Community Schools,49226,2126,32505,14595,9.980940795,0.43106244899999996,6.5906326029999995,2.959245742,4932,48065,28963,9.745539335,5.8724655310000005,43.43621629999999,-84.00561534,598.875,60.875,16.625,14.625,3.75,4.375,243.875,315.375,597.125,51.75
Saline Area Schools,72212,456,40377,31379,13.61976613,0.086005281,7.61542814,5.918332705,5302,68876,36625,12.990569599999999,6.907770652999999,42.18098989,-83.77089849,701.0,89.57142857,1.714285714,1.428571429,3.571428571,3.857142857,86.14285714,579.0,683.1428571,22.71428571
Sand Creek Community Schools,9176,343,7244,1589,10.25251397,0.383240223,8.093854749,1.775418994,895,8907,5613,9.951955307,6.27150838,41.8203107,-84.1024474,442.5,91.5,0.0,5.5,0.0,2.5,174.0,225.5,440.5,49.5
Sandusky Community School District,11032,781,7388,2863,10.64864865,0.7538610040000001,7.1312741310000005,2.7635135139999996,1036,10116,5932,9.764478764,5.725868726,43.41172435,-82.82564395,516.5,95.5,0.0,3.0,0.5,1.0,232.5,251.0,527.5,52.0
Saranac Community Schools,10983,397,7591,2995,10.852766800000001,0.39229249,7.500988142000001,2.959486166,1012,16503,6105,16.30731225,6.0326086960000005,42.924658799999996,-85.2026349,491.5,91.5,1.0,4.5,0.5,2.5,155.5,250.5,455.5,44.0
Saugatuck Public Schools,11500,219,2230,9051,13.52941176,0.257647059,2.623529412,10.64823529,850,9854,5684,11.59294118,6.687058824,42.649868,-86.20176645,316.0,90.0,0.0,7.0,0.0,3.0,93.0,214.0,321.5,33.0
Sault Ste. Marie Area Schools,23963,1728,15334,6901,10.59372237,0.7639257290000001,6.778956676,3.050839965,2262,28925,12666,12.78735632,5.599469496,46.46114033,-84.33416008,401.0,64.83333333,1.5,3.833333333,1.333333333,28.5,193.0,189.83333330000002,408.5,58.66666667
Schoolcraft Community Schools,12083,210,8174,3699,11.31367041,0.196629213,7.653558052,3.463483146,1068,10995,6202,10.29494382,5.807116105,42.11983473,-85.6293134,349.6666667,90.0,1.0,4.666666667,1.0,3.0,75.33333333,263.3333333,357.3333333,26.33333333
Unionville-Sebewaing Area S.D.,8993,396,5321,3276,11.75555556,0.517647059,6.955555556,4.282352941,765,7700,4201,10.06535948,5.491503268,43.6953174,-83.4615209,158.0,94.0,0.0,5.0,0.0,1.0,59.0,88.0,160.0,45.0
