NAME,TOTALREV,TFEDREV,TSTREV,TLOCREV,tot_rev_per_s,fed_rev_per_s,st_rev_per_s,loc_rev_per_s,ENROLL,TOTALEXP,TCURINST,tot_spend_per_s,tot_inst_per_s,lat,lng,ave_school_enrol,ave_prcnt_wht,ave_prcnt_bk,ave_prcnt_hisp,ave_prcnt_asn,ave_prcnt_othr,free_lunch_eligible,not_eligible,total_count,percent_student_body_eligible_for_frl
Marion Public Schools,6025,673,3325,2027,12.074148300000001,1.348697395,6.6633266529999995,4.062124248,499,5776,3769,11.5751503,7.553106212,44.10235905,-85.14210035,252.0,95.5,1.5,1.5,0.5,1.0,154.5,61.5,222.5,74.0
Marlette Community Schools,8887,653,6977,1257,9.798235943,0.719955899,7.692392503,1.385887541,907,8947,5630,9.864388092999999,6.207276736,43.32407565,-83.07180490000002,450.0,91.0,1.0,5.0,0.0,2.5,208.5,166.0,419.5,60.5
Marquette Area Public Schools,34110,1035,18111,14964,10.53753475,0.31974050000000004,5.594995366,4.622798888,3237,33342,19231,10.30027804,5.940994748,46.53660089,-87.40413449,454.2857143,87.28571429,1.0,1.571428571,0.428571429,10.28571429,128.0,317.85714289999993,467.14285710000007,36.42857143
Marshall Public Schools,30820,1776,19797,9247,12.559087199999999,0.7237163809999999,8.067237164,3.7681336589999996,2454,27243,14952,11.10146699,6.092909535,42.28723742,-85.01229505,413.5,79.33333333,9.5,6.166666667,1.166666667,3.833333333,141.0,245.33333330000002,411.6666667,40.33333333
Martin Public Schools,6393,313,4162,1918,11.295053,0.553003534,7.35335689,3.38869258,566,5410,3382,9.558303887000001,5.975265017999999,42.53604535,-85.63800675,283.5,87.0,1.0,8.5,1.0,2.5,141.0,142.5,309.0,53.0
Marysville Public Schools,29072,560,19308,9204,10.49909715,0.202239075,6.97291441,3.323943662,2769,26810,15970,9.682195738999999,5.767425062999999,42.91456436,-82.4801618,530.8,91.4,1.0,4.4,0.4,2.4,198.6,330.6,552.0,44.6
Mason County Central Schools,14518,1056,8829,4633,11.13343558,0.8098159509999999,6.770705521,3.55291411,1304,13097,7563,10.04371166,5.799846626,43.97080485,-86.2991673,253.25,92.0,1.0,4.5,0.75,2.25,123.0,109.5,254.0,54.5
Mason County Eastern Schools,5236,470,2382,2384,11.33333333,1.017316017,5.155844156000001,5.16017316,462,4712,3031,10.1991342,6.5606060610000005,43.9537086,-86.2176589,254.0,90.0,4.0,4.0,0.0,2.0,160.0,54.0,230.0,77.0
Mason Consolidated Schools (Monroe),11385,557,8126,2702,10.29385172,0.503616637,7.347197107,2.443037975,1106,10904,6565,9.858951175,5.935804702,41.81153567,-83.49186667,647.6666667000001,77.0,5.0,13.0,0.666666667,3.666666667,179.0,298.6666667,507.66666669999995,42.66666667
Mason Public Schools (Ingham),34788,1009,23534,10245,10.98452794,0.31859804199999997,7.4310072620000005,3.23492264,3167,31328,19024,9.892011367,6.006946637,42.58900758,-84.45089304,705.4,82.6,3.4,9.0,1.4,3.8,174.6,423.2,629.2,33.2
Mattawan Consolidated School,39231,710,29700,8821,10.20577523,0.18470343399999997,7.7263267429999996,2.294745057,3844,46895,21088,12.19953174,5.485952133,42.21272517,-85.80129723,978.6666667000002,87.0,2.0,4.0,2.0,5.0,170.33333330000002,807.0,999.3333332999998,19.33333333
Mayville Community School District,7345,685,4888,1772,11.3875969,1.062015504,7.578294574,2.747286822,645,7202,4072,11.16589147,6.313178295,43.331713,-83.35190885,266.5,95.0,2.0,2.0,0.5,0.5,144.0,68.0,227.5,69.0
McBain Rural Agricultural Schools,10009,512,7345,2152,9.783968719,0.500488759,7.179863148,2.103616813,1023,9405,5575,9.193548387,5.449657869,44.19475739999999,-85.2093441,545.0,94.0,1.0,5.0,0.0,0.0,184.0,325.0,562.0,42.0
Melvindale-North Allen Park Schools,28915,2147,21752,5016,10.20649488,0.757853865,7.6780797739999995,1.7705612419999999,2833,28382,16845,10.018355099999999,5.945993646,42.2779396,-83.18873278,708.5,58.25,11.0,29.75,1.0,0.5,604.75,116.0,764.0,85.5
Memphis Community Schools,16135,567,5899,9669,18.56731876,0.6524741079999999,6.788262371,11.12658228,869,9082,5489,10.45109321,6.316455696,42.89544895,-82.7776728,430.0,95.0,1.5,2.5,0.0,0.5,132.5,279.5,434.5,36.0
Mendon Community School District,6747,313,3896,2538,11.59278351,0.537800687,6.694158076,4.360824742,582,6487,3434,11.14604811,5.900343642999999,42.0121354,-85.45064005,289.0,90.5,3.5,2.5,1.0,2.0,115.0,140.5,269.0,49.0
Menominee Area Public Schools,14826,927,9779,4120,10.59756969,0.662616154,6.989992852,2.9449606860000004,1399,15309,8958,10.9428163,6.403145104,45.13877983,-87.61995185,352.5,91.5,0.75,4.25,0.25,3.5,154.0,155.0,337.0,53.75
Meridian Public Schools,15660,716,9845,5099,11.80995475,0.539969834,7.424585219,3.845399698,1326,14896,7495,11.23378582,5.652337857999999,43.70944197,-84.36966183,443.0,97.66666667,1.333333333,0.333333333,0.0,0.0,192.66666669999998,231.0,443.33333330000005,48.0
Merrill Community Schools,7269,417,4940,1912,11.48341232,0.658767773,7.804107425,3.020537125,633,7809,3705,12.33649289,5.853080568999999,43.4085963,-84.3378166,192.0,91.0,0.0,7.0,0.0,2.0,66.0,140.0,216.0,35.0
Mesick Consolidated Schools,6978,620,4253,2105,11.1648,0.992,6.8048,3.3680000000000003,625,6589,3957,10.5424,6.3312,44.4054771,-85.7111011,324.0,94.0,2.0,2.0,0.0,2.0,181.0,71.0,269.0,74.0
Michigan Center School District,14023,947,10815,2261,9.952448545,0.6721078779999999,7.675656494,1.604684173,1409,14394,9215,10.21575586,6.540099361,42.23030203,-84.33521193,463.0,89.66666667,2.0,3.0,0.0,5.333333333,223.0,220.66666669999998,476.0,55.33333333
Mid Peninsula School District,2712,115,1111,1486,14.42553191,0.611702128,5.909574468,7.904255319,188,2227,1082,11.84574468,5.755319149,45.984897600000004,-87.11443320000001,184.0,96.0,0.0,0.0,1.0,3.0,80.0,61.0,156.0,61.0
